name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Cordoba,1990-01-01,27,15.2,21.9,27.7,15.2,21.9,18.3,81.3,59,100,8.33,rain,,,,37.1,174,1010.5,68.7,12.6,,,,,1990-01-01T07:15:49,1990-01-01T21:24:43,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"87344099999,87349099999"
Cordoba,1990-01-02,28.6,18.3,23.9,30.2,18.3,24.3,18.8,75.2,0,0,0,,,,,31.3,59.4,1011.5,39.9,14.3,,,,,1990-01-02T07:16:33,1990-01-02T21:24:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87344099999,87349099999"
Cordoba,1990-01-03,31.6,20.6,26,35.2,20.6,26.7,17.5,61.4,0,0,0,,,,,27,40.1,1008.4,22.8,14.7,,,,,1990-01-03T07:17:17,1990-01-03T21:25:05,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87344099999,87349099999"
Cordoba,1990-01-04,37.4,18.7,26.6,40,18.7,27.1,17.2,58.4,0,0,0,,,,,33.5,48.1,1009.4,0.4,16,,,,,1990-01-04T07:18:03,1990-01-04T21:25:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"87344099999,87349099999"
Cordoba,1990-01-05,33.1,21.1,27.1,36.2,21.1,28.2,18.6,60.5,0,0,0,,,,,38.1,27.3,1008.6,1.9,14.5,,,,,1990-01-05T07:18:50,1990-01-05T21:25:19,0.3,Clear,Clear conditions throughout the day.,clear-day,"87344099999,87349099999"
Cordoba,1990-01-06,34.9,19.7,27.5,42.4,19.7,30.1,20.2,65.7,0,0,0,,,,,35.3,39.8,1006.8,5.4,13.5,,,,,1990-01-06T07:19:37,1990-01-06T21:25:24,0.34,Clear,Clear conditions throughout the day.,clear-day,"87344099999,87349099999"
Cordoba,1990-01-07,29.4,21.7,25.4,33.1,21.7,26,20.6,75.5,0.016,100,4.17,rain,,,,31.3,176.6,1007.8,58.5,14.6,,,,,1990-01-07T07:20:25,1990-01-07T21:25:27,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"87344099999,87349099999"
Cordoba,1990-01-08,26.1,19.1,22.1,26.1,19.1,22.1,20.4,90.7,25.193,100,12.5,rain,,,,25.9,168.3,1012.2,93.6,9.9,,,,,1990-01-08T07:21:14,1990-01-08T21:25:29,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"87344099999,87349099999"
Cordoba,1990-01-09,23.4,17.1,20.2,23.4,17.1,20.2,18.2,88.7,13.849,100,12.5,rain,,,,14.8,171.4,1014,87.7,13.4,,,,,1990-01-09T07:22:04,1990-01-09T21:25:28,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87344099999,87349099999"
Cordoba,1990-01-10,28.4,17.7,23.1,30.6,17.7,23.6,18.6,76.7,0,0,0,,,,,18.4,18.6,1010.8,22.8,14.2,,,,,1990-01-10T07:22:54,1990-01-10T21:25:26,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87344099999,87349099999"
