fecha,factor_temperatura,factor_humedad,factor_precipitaciones,factor_viento,indice_incendio
8-1990,0.1,0.06,1.0,0.45,0.4420
9-1990,0.13,0.27,0.97,0.43,0.4820
10-1990,0.1,0.1,0.74,0.35,0.3490
11-1990,0.4,0.13,0.8,0.5,0.4960
12-1990,0.32,0.1,0.71,0.58,0.4385
1-1991,0.42,0.03,0.84,0.45,0.4920
7-1991,0.03,0.06,0.97,0.23,0.3850
8-1991,0.06,0.19,0.94,0.29,0.4170
9-1991,0.1,0.27,0.97,0.37,0.4655
10-1991,0.13,0.29,0.84,0.32,0.4295
11-1991,0.2,0.2,0.87,0.3,0.4445
9-1992,0.07,0.3,0.83,0.37,0.4120
10-1992,0.23,0.45,0.84,0.65,0.5295
11-1992,0.07,0.2,0.7,0.3,0.3395
1-1993,0.58,0.06,0.87,0.42,0.5615
2-1993,0.54,0.11,0.89,0.39,0.5615
4-1993,0.03,0.07,0.87,0.3,0.3590
8-1993,0.06,0.61,0.97,0.26,0.5085
9-1993,0.07,0.4,0.87,0.37,0.4460
10-1993,0.26,0.23,0.87,0.35,0.4765
11-1993,0.33,0.17,0.67,0.47,0.4310
1-1994,0.48,0.03,0.77,0.19,0.4625
2-1994,0.18,0.04,0.79,0.14,0.3615
3-1994,0.35,0.03,0.87,0.35,0.4680
4-1994,0.03,0.07,0.93,0.23,0.3730
7-1994,0.03,0.13,0.97,0.26,0.4020
9-1994,0.13,0.5,0.97,0.4,0.5250
11-1994,0.33,0.13,0.8,0.47,0.4685
12-1994,0.71,0.23,0.84,0.35,0.6235
1-1995,0.35,0.06,0.71,0.26,0.4090
2-1995,0.36,0.04,0.64,0.11,0.3690
4-1995,0.2,0.13,0.93,0.33,0.4545
5-1995,0.03,0.06,0.9,0.13,0.3505
8-1995,0.1,0.61,1.0,0.29,0.5360
9-1995,0.17,0.67,0.9,0.3,0.5385
10-1995,0.13,0.55,0.77,0.48,0.4730
11-1995,0.27,0.23,0.67,0.4,0.4150
12-1995,0.74,0.45,0.9,0.19,0.6830
1-1996,0.35,0.1,0.68,0.1,0.3905
8-1996,0.19,0.65,1.0,0.42,0.5885
9-1996,0.03,0.4,0.87,0.37,0.4320
10-1996,0.19,0.19,0.81,0.32,0.4200
11-1996,0.37,0.43,0.9,0.47,0.5775
1-1997,0.48,0.03,0.74,0.16,0.4490
2-1997,0.29,0.04,0.82,0.29,0.4255
3-1997,0.1,0.03,0.81,0.1,0.3345
4-1997,0.33,0.3,0.93,0.2,0.5210
5-1997,0.06,0.16,1.0,0.39,0.4420
7-1997,0.13,0.19,0.9,0.19,0.4175
8-1997,0.13,0.39,1.0,0.29,0.5025
9-1997,0.07,0.47,0.9,0.23,0.4565
10-1997,0.06,0.03,0.68,0.32,0.2970
