"período";"mes";"superficie";"unidad_de_medida"
"1998-2019";"Enero";"2042173";"hectáreas"
"1998-2019";"Febrero";"761436";"hectáreas"
"1998-2019";"Marzo";"260369";"hectáreas"
"1998-2019";"Abril";"22919";"hectáreas"
"1998-2019";"Mayo";"27145";"hectáreas"
"1998-2019";"Junio";"40890";"hectáreas"
"1998-2019";"Julio";"124172";"hectáreas"
"1998-2019";"Agosto";"430829";"hectáreas"
"1998-2019";"Septiembre";"684163";"hectáreas"
"1998-2019";"Octubre";"442776";"hectáreas"
"1998-2019";"Noviembre";"388661";"hectáreas"
"1998-2019";"Diciembre";"1208042";"hectáreas"
