anio,provincia,total_hectareas_afectadas,hectareas_bosques_nativos,hectareas_bosques_cultivados,hectareas_pastizal,avg_temp,avg_feel_temp,avg_humidity,avg_rain,avg_wind_speed,riesgo_incendio,riesgo_incendio_encoded
1993,Córdoba,232941,59995,250,172696,17.59068493150685,17.38821917808219,64.43753424657534,3.041964383561644,29.320273972602738,alto,3
1994,Córdoba,240196,187812,100,52284,18.327397260273973,18.218082191780823,66.33260273972603,2.0154493150684933,28.543287671232875,alto,3
1995,Córdoba,300639,122260,1530,176849,18.2813698630137,18.049589041095892,59.84054794520548,1.7540657534246573,29.296986301369866,alto,3
1996,Córdoba,49812,43325, -   ,6487,18.084699453551913,17.866120218579233,65.4655737704918,4.4861939890710385,28.700273224043713,bajo,1
1997,Córdoba,39517,22213,169,13362,18.36958904109589,18.261917808219177,65.526301369863,2.562679452054794,28.182191780821917,bajo,1
1998,Córdoba,20504,8817,4,2180,17.272054794520546,17.14958904109589,71.27013698630137,2.907068493150685,25.695342465753424,bajo,1
1999,Córdoba,59933,22306,65,37562,17.281917808219177,17.073424657534243,68.42219178082192,2.657901369863014,25.113150684931504,bajo,1
2000,Córdoba,89920,20637.95,1198.15,35406.95,16.761917808219177,16.516164383561645,69.98465753424658,3.2556246575342467,27.21178082191781,bajo,1
2001,Córdoba,83173,19234,313,58292,17.477260273972604,17.40794520547945,71.98602739726027,3.303805479452055,26.30931506849315,bajo,1
2002,Córdoba,104773,25734,8449,42080,17.46164383561644,17.31013698630137,69.59068493150686,3.238950684931507,27.017808219178082,medio,2
2003,Córdoba,127545,51474,3308,72762,17.65178082191781,17.455890410958904,62.79945205479451,2.9255890410958902,27.591232876712333,medio,2
2004,Córdoba,11473,4600,41,6769,17.71120218579235,17.443715846994536,61.63333333333334,2.1858606557377045,27.35136612021858,bajo,1
2005,Córdoba,16910,3866,4118,8544,17.30164383561644,17.082465753424657,63.24465753424657,2.2430027397260277,26.96849315068493,bajo,1
2006,Córdoba,61769,23498,124,22987,18.06054794520548,17.89917808219178,60.81123287671233,3.4588438356164386,28.372328767123292,bajo,1
2007,Córdoba,11369,4371, -   ,6526,16.862739726027396,16.476164383561642,62.584931506849315,2.406715068493151,26.174246575342472,bajo,1
2008,Córdoba,61541.65,15603,2,27708.65,18.050000000000004,17.795355191256828,58.869125683060105,2.56507650273224,26.177322404371587,bajo,1
2009,Córdoba,70247,21884,120,37743,18.546027397260275,18.265205479452057,54.359178082191775,2.5847616438356167,28.415068493150685,bajo,1
2010,Córdoba,10305,2233,790,7282,17.506027397260272,17.262465753424657,60.18219178082192,3.000906849315069,26.905479452054795,bajo,1
2011,Córdoba,71293,24569, -   ,40946,17.971506849315066,17.71972602739726,57.676438356164375,2.1677561643835612,27.75123287671233,bajo,1
2012,Córdoba,11130,4036, -   ,6799,18.227868852459014,18.084426229508196,61.88333333333333,2.3248442622950822,28.40245901639344,bajo,1
2013,Córdoba,105179,25620,7000,69009,17.307945205479452,16.903287671232878,58.95452054794521,2.3342657534246576,27.26273972602739,medio,2
2014,Córdoba,4196, -   , -   ,3996,17.234520547945205,16.98,66.44575342465754,2.6603835616438354,26.281917808219177,bajo,1
2015,Córdoba,1280,720,50,510,17.30986301369863,17.203561643835613,70.39835616438357,3.0073835616438354,24.863835616438354,bajo,1
2016,Córdoba,3540.7,316.7, -   ,2350.9,16.42978142076503,16.18032786885246,70.24672131147541,2.7709890710382514,23.77896174863388,bajo,1
2017,Córdoba,45343.4,11922.2,410,29089.2,17.504931506849317,17.258356164383564,65.59369863013698,2.5811835616438357,25.423287671232877,bajo,1
2018,Córdoba,20826.31,2549,300,14042.81,17.567123287671233,17.19780821917808,62.86356164383561,1.748608219178082,26.07945205479452,bajo,1
2019,Córdoba,20935.97,2774.8,0,12368.235,17.268493150684932,17.045205479452054,67.58876712328767,2.50066301369863,25.707397260273975,bajo,1
2020,Córdoba,208442.78,45996.85,10000,84931.05,18.212841530054643,18.028142076502732,58.939617486338804,1.6830601092896176,23.04562841530055,alto,3
2021,Córdoba,63354.2,32062.5,0,17308.6,18.884109589041095,18.783287671232877,60.43890410958903,2.1986356164383563,21.115616438356163,bajo,1
